texto_pregunta,descripcion_pregunta
"id=“” ¿porque ocurre esto donde no me deja identificar el id de otra persona, se puede identificar el nombre de la id?","            aqui se puede ver el codigo donde el segundo ID no contiene nada pero necesitaria ese nombre<div id=""autocomplete"" class=""c-form__inner"">    <input        autofocus=&...        "
Como puedo hacer que se guarde la información sin repetir?,            Una consulta estoy guardando una lista en un archivo csv pero cuando comento //archivoUsuarios.delete(); se repite la información ya que veo que al descomentar archivoUsuarios.delete(); es como si ...        
Contar ciertas filas en un datagridview,"            quiero contar ciertas filas de mi datagridview, por el momento solo se que dgt.RowCount cuenta el total de filas del datagridview, en mi caso quiero contar filas que cumplan una condicion. las filas  ...        "
Como leer un xml de respuesta WS con php,            tengo un problema y es que no puedo recorrer mi respuesta que es un string formato xml.ME comunico a una ws para emitir una boleta electrónica a través de una OSE en Perú.Recibo la respuesta de mi ...        
como puedo restar los valores de un diccionario en python,"            Quiero restar valores de un mismo diccionario de la siguiente manera:vec=[400,20,1,65] Quiero restar así: =  vec[400,20,1,65] - [400,400,20,1];es decir, el primer valor menos el primer valor del ...        "
Pasar datos en php con <a href> en una <img>,"            estoy diseñando un catalogo web donde muestro productos de una base de datos en un <container> y un foreach en PHP. Columnas en la base de datos(ID, Nombre , Precio ,stock, Descripcion).En la ...        "
Convertir objeto a json en view de django rest framework,"            Tengo una vista en django rest framework que me permite generar un pdf, quiero obtener los datos desde models, tengo esta función en views.py:def generaPdf(request):        stu = models....        "
Operador filter no anda RxJS,            Servicio:  getHeroes(){    return this.http.get('https://akabab.github.io/superhero-api/api/all.json')    .pipe(      map((objeto:Heroes[]) => objeto.filter(elemento => elemento.biography....        
¿Cómo configurar como nombre de un archivo PDF generado con DOMPDF el ID de una consulta MySQL?,"            Usando DOMPDF para generar un comprobante de servicio en archivo PDF:<?phprequire_once 'vendor/autoload.php';use Dompdf\Dompdf;$pdf = new DOMPDF();$pdf->set_paper(array(0,0,432,600.5),'...        "
¿Cómo visualizar un Grafo (Gráficamente) en JavaFX representado en un Hashmap?,            Estoy trabajando con Grafos no dirigidos representados en un Hashmap quiero representar el grafo gráficamente en JavaFX.Quiero un tipo de visualización de gráfico de nodo / arista. Ya que no es un ...        
Agregando elementos a una Lista,"            Map<Integer,Paciente> listaPacientes;tengo este metodo que dada una lista de pacientes  me devuelve otra lista con los dni de los pacientes que no se vacunaronpero el problema es que no los ...        "
como restar una lista de python con los mismos valores de esa lista [duplicada],"            como puedo restar los valores de un mismo diccionario, el primer valor con el primero, el segundo con el primero, el tercero con el segundo y el 4to valor con el 3er valor.aqui mi codigo:        ...        "
Como puedo mostrar los datos de un comobobox anidado en mi datatable,"            espero me puedan ayudar en lo siguiente. Tengo un combobox anidado como se puede ver en la imagen 1 ,los datos del combox están en 2 tablas, la primera se llama categoria y la otra areaimagen 2. lo ...        "
RecyclerView con final separado Android Studio,"            Me esta pasando de que tengo un recycler view que repite un card view con un boton al lado, y tengo un floatin button en la esquina inferior derecha, al llegar abajo del todo, el floating button tapa ...        "
La fuente de FiraCode no funciona correctamente,"            Estoy intentando usar nvim actualmente, instale el plugin de NERDTree con una que se llama vim-devicons. También instalé zsh con oh my zsh, pero hoy cuando abrí el NERDTreeToggle los iconos no ...        "
